Temperature,Vdd,Vdrain,Vgate,Vsource,Vbody,Idrain,Igate,Isource,Ibody
25.0,0.0,1.1,0.0,1.1,0.0,-0.0031404515,1.47347585e-08,-0.0031404515,0.00628088826
25.0,0.05,1.1,0.05,1.1,0.0,-0.0031404503,1.22383645e-08,-0.0031404503,0.00628088837
25.0,0.1,1.1,0.1,1.1,0.0,-0.00314044929,1.01736712e-08,-0.00314044929,0.00628088841
25.0,0.15,1.1,0.15,1.1,0.0,-0.00314044843,8.43245695e-09,-0.00314044843,0.00628088842
25.0,0.2,1.1,0.2,1.1,0.0,-0.00314044769,6.94941527e-09,-0.00314044769,0.00628088843
25.0,0.25,1.1,0.25,1.1,0.0,-0.00314044706,5.68274228e-09,-0.00314044706,0.00628088843
25.0,0.3,1.1,0.3,1.1,0.0,-0.00314044652,4.60253702e-09,-0.00314044652,0.00628088843
25.0,0.35,1.1,0.35,1.1,0.0,-0.00314044606,3.68510733e-09,-0.00314044606,0.00628088843
25.0,0.4,1.1,0.4,1.1,0.0,-0.00314044567,2.91042745e-09,-0.00314044567,0.00628088843
25.0,0.45,1.1,0.45,1.1,0.0,-0.00314044535,2.2610358e-09,-0.00314044535,0.00628088843
25.0,0.5,1.1,0.5,1.1,0.0,-0.00314044508,1.72153136e-09,-0.00314044508,0.00628088843
25.0,0.55,1.1,0.55,1.1,0.0,-0.00314044486,1.27826105e-09,-0.00314044486,0.00628088843
25.0,0.6,1.1,0.6,1.1,0.0,-0.00314044468,9.19117227e-10,-0.00314044468,0.00628088843
25.0,0.65,1.1,0.65,1.1,0.0,-0.00314044453,6.33276542e-10,-0.00314044453,0.00628088843
25.0,0.7,1.1,0.7,1.1,0.0,-0.00314044442,4.10992129e-10,-0.00314044442,0.00628088843
25.0,0.75,1.1,0.75,1.1,0.0,-0.00314044434,2.43439047e-10,-0.00314044434,0.00628088843
25.0,0.8,1.1,0.8,1.1,0.0,-0.00314044428,1.23222321e-10,-0.00314044428,0.00628088843
25.0,0.85,1.1,0.85,1.1,0.0,-0.00314044424,4.67217376e-11,-0.00314044424,0.00628088843
25.0,0.9,1.1,0.9,1.1,0.0,-0.00314044422,1.08748566e-11,-0.00314044422,0.00628088843
25.0,0.95,1.1,0.95,1.1,0.0,-0.00314044863,-2.43360887e-12,-0.00314044863,0.00628089725
25.0,1.0,1.1,1.0,1.1,0.0,-0.00314044862,-3.09370307e-11,-0.00314044862,0.00628089727
25.0,1.05,1.1,1.05,1.1,0.0,-0.00314044856,-2.62598832e-10,-0.00314044856,0.00628089737
25.0,1.1,1.1,1.1,1.1,0.0,-0.00314044818,-1.62607705e-09,-0.00314044818,0.00628089799
